 报告日期,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),94162,70057,43715,80186,59125,41180,28388, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),7963,5791,3548,7265,5176,536,1776, 
 收到的其他与经营活动有关的现金(万元),6345,6060,5798,14532,3098,2234,2582, 
 经营活动现金流入小计(万元),108471,81908,53061,101983,67399,43950,32746, 
 购买商品、接受劳务支付的现金(万元),27039,21552,6263,11824,8160,58027,40771, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),20035,15633,10684,17148,13667,10647,7290, 
 支付的各项税费(万元),15108,11256,5706,16503,10561,6848,5613, 
 支付的其他与经营活动有关的现金(万元),5015,4388,2575,7211,9514,3831,4634, 
 经营活动现金流出小计(万元),130829,97487,50963,93683,73934,79353,58308, 
 经营活动产生的现金流量净额(万元),-22359,-15580,2098,8300,-6534,-35403,-25562, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,5,2,1,2,41,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),325,256,182,288,436,1029,181, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),330,261,184,289,438,1070,182, 
